ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,feas_time,feas_matches,feas_SR,feas_RT,feas_TR,feas_1,feas_2,feas_3,cen_obj,cen_time,cen_matched_r,cen_matched_d,cen_matches,cen_SR,cen_RT,cen_TR,cen_1,cen_2,cen_3,broken_ratio,cen_broken,cen_broken_r,cen_broken_d,cen_broken_min,cen_broken_max,cen_broken_ave,cen_broken_std,cen_r_min,cen_r_max,cen_r_ave,cen_r_std,cen_d_min,cen_d_max,cen_d_ave,cen_d_std
14,2845,2134,711,298,1215,621,0.626,124083,12107,85695,26281,82302,29253,12528,22437.35,0.1078,1038,707,707,374,217,116,442,199,66,61.1,1726,698,314,0,24.92,5,4.49,0,24.92,5.96,4.79,0,12.52,2.86,2.71
15,2944,2208,736,295,1272,641,0.59,130014,13231,85446,31337,97934,25757,6323,35472.01,0.1112,1095,734,734,400,216,118,446,215,73,62.26,2700,804,329,0,55.12,7.92,7.99,0,55.12,9.75,8.61,0,22.81,3.46,3.28
16,3051,2289,762,334,1258,697,1.5071,343458,21231,233116,89111,244338,75005,24115,39822.7,0.3289,1258,762,762,400,218,144,374,280,108,72.31,6942,1127,399,0,59.65,7.68,8.01,0,59.65,9,8.62,0.01,29.13,3.95,4.09
17,3145,2359,786,325,1314,720,1.0614,246725,15033,175884,55808,186144,46980,13601,38437.68,0.2462,1182,785,785,393,262,130,471,231,83,70.32,4999,1061,399,0,61.35,7.4,7.56,0,61.35,8.93,8.13,0.01,20.79,3.31,3.27
18,3358,2519,839,362,1417,740,1.5676,336085,19271,253394,63420,225379,78075,32631,42603.23,0.3168,1329,838,838,419,262,157,448,289,101,73.99,4851,1079,453,0,48.09,7.29,7.61,0,48.09,8.75,8.38,0.02,17,3.8,3.32
19,3389,2260,1129,328,1271,661,0.4734,121166,12798,79628,28740,90956,21614,8596,28832.37,0.1053,1350,1073,1073,665,256,152,833,203,37,51.26,3368,599,409,0,31.15,4.13,4.09,0,23.82,4.84,4.36,0,31.15,3.09,3.41
20,3465,2310,1155,320,1319,671,2.5273,403094,30493,294095,78506,272913,98929,31252,36058.17,0.4152,1742,1154,1154,744,259,151,695,330,129,73.83,6036,926,637,0,35.33,3.88,4.39,0,35.33,3.96,5.04,0.01,19.31,3.77,3.22
21,3744,2496,1248,340,1387,769,1.3701,241009,26102,162994,51913,172378,50252,18379,35721.43,0.2207,1687,1220,1220,806,249,165,829,315,76,60.16,4074,814,534,0,28.64,4.23,4.26,0,28.64,4.88,4.85,0,15.78,3.25,2.89
22,3867,2578,1289,321,1433,824,0.7106,154763,17196,102322,35245,115514,30120,9129,33861.57,0.164,1600,1223,1223,785,284,154,904,261,58,54.7,2904,712,515,0,30.23,4.07,4.36,0,30.23,4.82,5.05,0,16.32,3.03,2.86
23,3986,2990,996,393,1661,936,1.4086,244051,23805,160445,59801,177733,50607,15711,51205.16,0.2367,1578,996,996,537,287,172,536,338,122,70.98,6123,1224,535,0,48.39,7.18,7.39,0,48.39,8.75,8.06,0.01,22.93,3.59,3.56
24,4195,2797,1398,376,1562,859,3.1774,658432,37113,496848,124471,457982,149345,51105,65038.48,0.6133,2026,1398,1398,871,342,185,896,376,126,73.18,9663,1140,788,0,50.59,5.32,6.27,0,50.59,6.03,7.36,0,26.2,4.3,3.99
25,4252,2835,1417,394,1584,857,2.9752,656584,38005,478370,140209,410533,162790,83261,65647.89,0.607,2057,1412,1412,883,335,194,900,379,133,76.2,13889,1225,839,0,55.12,5.44,6.13,0,55.12,6.26,7.2,0,40.8,4.24,3.77
26,4540,3405,1135,491,1866,1048,2.3938,412343,35780,234955,141608,213304,100599,98440,40915.88,0.4965,1874,1134,1134,675,281,178,557,414,163,70.55,9295,1283,614,0,41.08,5.01,5.14,0,41.08,5.65,5.77,0.01,19.68,3.65,3.07
27,4675,3507,1168,468,1957,1082,5.3365,865845,49129,607819,208897,394849,278448,192548,45814.48,1.2212,2161,1166,1166,676,301,189,436,465,265,77.53,10358,1536,650,0,31.17,4.5,4.69,0,31.17,4.84,5.16,0,19.91,3.68,3.17
28,4799,3600,1199,516,2037,1047,2.7778,408593,40196,285949,82448,249551,109109,49933,43071.6,0.4374,1994,1194,1194,724,308,162,583,422,189,72.45,9727,1523,640,0,35.33,5.58,5.19,0,35.33,6.13,5.65,0,18.75,4.28,3.58
29,4802,3202,1600,410,1820,972,2.7422,497581,42788,350185,104608,323365,109678,64538,74538.9,0.5458,2313,1599,1599,1026,379,194,1031,422,146,71.73,12316,1315,885,0,50.37,5.53,6.66,0,50.37,6.46,7.94,0,29.19,4.15,3.66
30,4966,3725,1241,482,2139,1104,4.1586,812052,46564,575039,190449,507008,216501,88543,69005.64,0.8249,2164,1241,1241,656,362,223,553,453,235,80.58,16125,1790,770,0,49.12,6.91,7.29,0,49.12,8.07,8.08,0,26.63,4.22,3.85
