id num,id,time1,time2,org_lon,org_lat,des_lon,des_lat,newt1,newt2,distance,drive time,org_sta,org_dis,org_time,des_sta,des_dis,des_time
14704,19374cc1f01f64cc60f69198107a3526,1478047357,1478048434,104.06206,30.65469,104.04819,30.6968,31357,32434,6326,903,215.0,608.0,608.0,248.0,287.0,287.0
14705,46c51edc0d9b4dda4251ef341e4c8e9f,1478048713,1478049698,104.04032,30.70222,104.02064,30.662740000000003,32713,33698,6209,887,257.0,471.0,471.0,247.0,1119.0,1119.0
14706,653f7d831db83d2fad4fac94d071b87a,1478044549,1478046605,104.100456,30.683334,104.04051,30.66351,28549,30605,7984,1140,120.0,1144.0,1144.0,281.0,375.0,375.0
14707,653f7d831db83d2fad4fac94d071b87a,1478044549,1478046605,104.100456,30.683334,104.04051,30.66351,28549,30605,7984,1140,120.0,1144.0,1144.0,281.0,375.0,375.0
14708,a70f6b051556edce71406aa61b383b35,1478048364,1478049632,104.02116,30.668132,104.08709,30.63936,32364,33632,9193,1313,247.0,362.0,362.0,205.0,916.0,916.0
14709,5ad895031b11fd3afa480ff505bdf6ed,1478047339,1478048348,104.091479,30.702803000000007,104.114828,30.654412,31339,32348,7573,1081,277.0,664.0,664.0,228.0,59.0,59.0
14710,917e083f734ad70c2e224dad2597d65b,1478046310,1478047420,104.059898,30.76733,104.04224,30.71862,30310,31420,7375,1053,26.0,895.0,895.0,92.0,1232.0,1232.0
14711,ec2979983acf6ebccafcc67f8ceb7a74,1478043739,1478044927,104.0472,30.64038,104.08041,30.67791,27739,28927,6817,973,52.0,580.0,580.0,124.0,737.0,737.0
14712,b8f70f0f93b687b34132196fb9f6886a,1478045485,1478047077,104.08969,30.68673,104.04572,30.6232,29485,31077,10687,1526,120.0,714.0,714.0,273.0,732.0,732.0
14713,13c6a021c1dcf09f697426547df7fdd6,1478047430,1478048886,104.04027,30.63211,104.05498,30.68885,31430,32886,8403,1200,116.0,661.0,661.0,175.0,486.0,486.0
14714,ec2979983acf6ebccafcc67f8ceb7a74,1478043739,1478044927,104.0472,30.64038,104.08041,30.67791,27739,28927,6817,973,52.0,580.0,580.0,124.0,737.0,737.0
14715,91f57393fa1dd3855cf81be85e383f8f,1478047641,1478049330,104.102446,30.674353000000004,104.06152,30.642740000000003,31641,33330,6839,977,88.0,657.0,657.0,75.0,591.0,591.0
14716,91f57393fa1dd3855cf81be85e383f8f,1478047641,1478049330,104.102446,30.674353000000004,104.06152,30.642740000000003,31641,33330,6839,977,88.0,657.0,657.0,75.0,591.0,591.0
14717,84b5661ea83ad972ed34cb3458bbc646,1478047969,1478049026,104.10695,30.71411,104.04962,30.70362,31969,33026,7284,1040,38.0,477.0,477.0,257.0,710.0,710.0
14718,84b5661ea83ad972ed34cb3458bbc646,1478047969,1478049026,104.10695,30.71411,104.04962,30.70362,31969,33026,7284,1040,38.0,477.0,477.0,257.0,710.0,710.0
14719,c7dcf0cf1896e3f0bf1e214f49a9b717,1478045660,1478046367,104.139006,30.688889,104.09879,30.7078,29660,30367,5697,813,184.0,1499.0,1499.0,277.0,746.0,746.0
14720,8e216b6c61e1995f2ec93062128b3620,1478047643,1478050015,104.064601,30.71282,103.95577,30.570329,31643,34015,24646,3520,48.0,643.0,643.0,201.0,66.0,66.0
14721,8e216b6c61e1995f2ec93062128b3620,1478047643,1478050015,104.064601,30.71282,103.95577,30.570329,31643,34015,24646,3520,48.0,643.0,643.0,201.0,66.0,66.0
14722,a0f3be33d2272a97b12bcaf6bfe0e5cc,1478048218,1478050157,103.964561,30.66571,104.07027,30.67584,32218,34157,13224,1889,279.0,1126.0,1126.0,234.0,552.0,552.0
14723,b5b47ffa3876d1dee258c7b54dcd48aa,1478043811,1478045701,104.04208,30.79922,104.07318,30.70213,27811,29701,14556,2079,26.0,4909.0,4909.0,168.0,858.0,858.0
14724,19c30a9e937680f44f2010b4dc74e124,1478046865,1478048118,104.111123,30.699299,104.1542,30.62645,30865,32118,11814,1687,50.0,849.0,849.0,18.0,874.0,874.0
14725,e90d51c35136cc448ba9b743305380c6,1478044845,1478047095,104.052414,30.678329,104.00162,30.64476,28845,31095,7964,1137,69.0,936.0,936.0,134.0,1279.0,1279.0
14726,762b8b3aa51e3026ff3e8af9bd3ca0bb,1478044488,1478046105,104.00832,30.69927,104.05514,30.66422,28488,30105,7716,1102,263.0,943.0,943.0,117.0,579.0,579.0
